id,comment_text,Profanity-check Model,Profanity-Filter Model,Grawlox Library,Grawlox with spell check,,
002,1. Simple cuss words:-,,,,,,
003,Fuck,TRUE,TRUE,TRUE,TRUE,,Table
004,Hell,TRUE,TRUE,TRUE,TRUE,,
005,Kill,TRUE,TRUE,TRUE,TRUE,,
006,Jerk,TRUE,TRUE,TRUE,TRUE,,
007,Shit,TRUE,TRUE,TRUE,TRUE,,
008,wth,,FALSE,TRUE,TRUE,,
009,stupid,,FALSE,TRUE,TRUE,,
010,bitch,,TRUE,TRUE,TRUE,,
011,piss,,TRUE,TRUE,TRUE,,
012,asshole,,TRUE,TRUE,TRUE,,
013,damn,,TRUE,TRUE,TRUE,,
014,crap,,TRUE,TRUE,TRUE,,
015,holycow,,FALSE,TRUE,TRUE,,
016,Fuckcycle ,,FALSE,TRUE,TRUE,,
017,Wankhammer ,,FALSE,TRUE,TRUE,,
018,Douchenozzle,,FALSE,TRUE,TRUE,,
019,Arsebasket,,FALSE,TRUE,TRUE,,
020,Ass,,TRUE,TRUE,TRUE,,
021,bloody,,FALSE,TRUE,TRUE,,
022,bastard,,TRUE,TRUE,TRUE,,
023,slut,,TRUE,TRUE,TRUE,,
024,bugger,,FALSE,TRUE,TRUE,,
025,cunt,,FALSE,TRUE,TRUE,,
026,scumbag,,FALSE,TRUE,TRUE,,
027,idiot,,FALSE,TRUE,TRUE,,
028,mental,,TRUE,TRUE,TRUE,,
029,motherfucker,,TRUE,TRUE,TRUE,,
030,retarded,,TRUE,TRUE,TRUE,,
031,screw,,TRUE,TRUE,TRUE,,
032,son of a bitch,,TRUE,TRUE,TRUE,,
033,Gimme a F!,,FALSE,TRUE,TRUE,,
034,Bugger off,,FALSE,TRUE,TRUE,,
035,Dork,,FALSE,TRUE,TRUE,,
036,Fuckface,,FALSE,TRUE,TRUE,,
037,black cock,,TRUE,TRUE,TRUE,,
038,bloody hell,,TRUE,TRUE,TRUE,,
039,boong,,TRUE,TRUE,TRUE,,
040,cock,,FALSE,TRUE,TRUE,,
041,cockfucker,,FALSE,TRUE,TRUE,,
042,cocksuck,,TRUE,TRUE,TRUE,,
